Sex,NumVics,Age1stKill,AgeLastKill,Age Group,# Male,# Female,Race of Victim,# White,# Black,# Hisp,#Asian,AgeKill,AgeSeries,,,,,,,
1,17,19,20,20,0,17,1,17,0,0,0,19,19,,,,,,,
1,12,23,23,20,3,3,1,12,0,0,0,23,23,,,,,,,
1,2,21,37,20,2,0,1,2,0,0,0,21,21,,,,,,,
1,11,21,30,20,,,,,,,,,,,,,,,,
1,2,20,22,20,2,0,7,1,1,0,0,20,20,,,,,,,
1,3,30,50,30,,,,,,,,,,,,,,,,
1,28,18,25,10,20,8,1,28,0,0,0,18,18,,,,,,,
1,2,41,52,40,0,2,1,2,0,0,0,41,41,,,,,,,
1,4,15,35,10,1,3,1,3,0,0,0,15,15,,,,,,,
1,3,20,46,20,1,2,1,3,0,0,0,20,20,,,,,,,
1,2,37,37,30,2,0,7,1,0,1,0,37,37,,,,,,,
1,5,32,33,30,5,0,2,0,5,0,0,32,32,,,,,,,
2,18,23,24,20,,,,,,,,23,23,,,,,,,
1,10,45,47,40,,,3,0,0,10,0,45,45,,,,,,,
1,2,30,30,30,0,2,1,2,0,0,0,30,30,,,,,,,
1,3,20,27,20,0,3,7,0,2,1,0,20,20,,,,,,,
1,30,16,19,10,,,3,0,0,30,0,16,16,,,,,,,
2,2,18,18,10,2,0,7,1,0,1,0,18,18,,,,,,,
1,2,28,28,20,2,0,7,1,0,1,0,28,28,,,,,,,
1,2,27,27,20,0,2,1,2,0,0,0,27,27,,,,,,,
1,4,28,41,20,0,4,1,4,0,0,0,28,28,,,,,,,
1,2,28,45,20,1,1,7,1,0,1,0,28,28,,,,,,,
1,3,41,80,40,3,0,1,2,0,0,0,41,41,,,,,,,
1,3,27,27,20,1,2,1,3,0,0,0,27,27,,,,,,,
1,3,24,24,20,3,0,1,3,0,0,0,24,24,,,,,,,
1,2,18,24,10,2,0,1,2,0,0,0,18,18,,,,,,,
1,7,33,34,30,7,0,1,7,0,0,0,33,33,,,,,,,
1,2,39,44,30,2,0,1,2,0,0,0,39,39,,,,,,,
1,3,28,55,30,0,3,,,,,, , ,,,,,,,
1,160,47,57,40,,,1,,0,0,0,47,47,,,,,,,
1,3,30,34,30,3,0,7,1,,1,,30,30,,,,,,,
1,3,32,43,30,2,1,1,3,0,0,0,32,32,,,,,,,
1,3,22,30,20,3,0,2,0,3,0,0,22,22,,,,,,,
1,20,42,43,40,,,2,0,20,0,0,42,42,,,,,,,
1,3,21,22,20,3,0,7,,1,1,0,21,21,,,,,,,
1,4,15,18,10,4,0,7,1,1,,,15,15,,,,,,,
1,,20,23,20,,,1,,,,, , ,,,,,,,
2,2,29,29,20,2,0,1,2,0,0,0,29,29,,,,,,,
1,3,46,67,40,3,0,1,3,0,0,0,46,46,,,,,,,
1,2,18,21,10,2,0,2,0,2,0,0,18,18,,,,,,,
1,2,18,29,10,2,0,1,2,0,0,0,18,18,,,,,,,
1,2,17,24,10,2,0,,1,,,,17,17,,,,,,,
1,3,16,16,10,2,1,3,0,0,3,0,16,16,,,,,,,
1,4,27,27,20,1,3,7,0,1,3,0,27,27,,,,,,,
2,40,40,51,40,,,3,0,0,40,0,40,40,,,,,,,
1,3,42,44,40,0,3,4,0,0,0,3,42,42,,,,,,,
1,4,31,50,40,,,,,,,, , ,,,,,,,
1,2,29,29,20,2,0,2,0,2,0,0,29,29,,,,,,,
1,11,19,19,10,12,1,7,3,0,6,2,19,19,,,,,,,
